Término,DF (líneas),IDF
2000,1,1.2041
a,4,0.6021
agua,1,1.2041
alrededor,1,1.2041
altitud,1,1.2041
amazonia,1,1.2041
andes,1,1.2041
arquitectura,1,1.2041
artesanal,1,1.2041
ascensiones,1,1.2041
atrae,1,1.2041
atraen,1,1.2041
aventura,1,1.2041
aves,1,1.2041
avistamiento,1,1.2041
banos,1,1.2041
bienestar,1,1.2041
biodiversidad,1,1.2041
bosques,1,1.2041
cada,1,1.2041
cajas,1,1.2041
caminatas,1,1.2041
canopy,1,1.2041
cascadas,1,1.2041
centro,1,1.2041
cercania,1,1.2041
ciudad,1,1.2041
colonial,1,1.2041
color,1,1.2041
como,3,0.727
comunidades,1,1.2041
con,5,0.5051
conecta,1,1.2041
conocer,1,1.2041
conocido,1,1.2041
cotopaxi,1,1.2041
crater,1,1.2041
cuenca,1,1.2041
cuenta,1,1.2041
cultura,1,1.2041
de,9,0.2499
declarado,1,1.2041
del,3,0.727
deportes,1,1.2041
deslumbra,1,1.2041
disfrutan,2,0.9031
durante,1,1.2041
ecologico,1,1.2041
ecuador,1,1.2041
ecuatorianos,1,1.2041
el,8,0.301
en,4,0.6021
entre,1,1.2041
es,3,0.727
excursionistas,1,1.2041
exploracion,1,1.2041
famosas,1,1.2041
famoso,1,1.2041
feriado,2,0.9031
feriados,1,1.2041
fiestas,1,1.2041
galapagos,1,1.2041
gastronomia,2,0.9031
gran,1,1.2041
guayaquil,1,1.2041
historico,1,1.2041
humanidad,1,1.2041
ideales,1,1.2041
impacta,1,1.2041
impresionantes,1,1.2041
indigena,1,1.2041
indigenas,1,1.2041
interesados,1,1.2041
invita,1,1.2041
islas,1,1.2041
jovenes,1,1.2041
la,7,0.359
laguna,1,1.2041
lagunas,1,1.2041
las,4,0.6021
llena,1,1.2041
locales,1,1.2041
longevidad,1,1.2041
lopez,1,1.2041
los,6,0.426
malecon,1,1.2041
mas,1,1.2041
megadiverso,1,1.2041
mercado,1,1.2041
mindo,1,1.2041
montanas,1,1.2041
montanita,2,0.9031
muchos,1,1.2041
mundo,1,1.2041
nacional,1,1.2041
nacionales,1,1.2041
naturaleza,1,1.2041
nocturna,1,1.2041
nublados,1,1.2041
ofrece,1,1.2041
otavalo,1,1.2041
pacifico,1,1.2041
pais,1,1.2041
para,3,0.727
paraiso,1,1.2041
paramos,1,1.2041
parque,1,1.2041
patrimonio,1,1.2041
playas,3,0.727
por,3,0.727
puerto,1,1.2041
quilotoa,1,1.2041
quito,1,1.2041
rafting,1,1.2041
region,1,1.2041
ruta,1,1.2041
salinas,1,1.2041
santa,1,1.2041
se,1,1.2041
selvas,1,1.2041
senderos,1,1.2041
sorprende,1,1.2041
spondylus,1,1.2041
su,5,0.5051
surfistas,1,1.2041
tipica,1,1.2041
todo,1,1.2041
tradicional,1,1.2041
trekking,1,1.2041
turismo,1,1.2041
turistas,4,0.6021
turquesa,1,1.2041
un,3,0.727
una,1,1.2041
unesco,1,1.2041
unica,1,1.2041
valle,1,1.2041
viajeros,1,1.2041
vibrante,1,1.2041
vida,1,1.2041
vilcabamba,1,1.2041
visitan,1,1.2041
visitantes,2,0.9031
volcan,1,1.2041
y,13,0.0902
